,Index,Date,Language,Tweets Ago,Compound,Positive,Neutral,Negative,Tweet
34,DJIA,04-01-2018,en,2,0.0,0.0,0.0,1.0,"@liberalwhisper @TimothyKenison @tedlieu @realDonaldTrump Apparently you aren't either. That's a chart of the DJIA, not market volume"
35,DJIA,04-01-2018,en,3,0.516,0.143,0.0,0.857,"RT @deviantcharts: $YM $DJIA BEAR MKT 24,500 PJT: TARIFFS AS EXPECTED; NOT A #TRADEWAR IT’S AN ARMS INNOVATION RACE CIRCA 2014 V MERCURIAL…"
36,DJIA,04-01-2018,en,4,0.0,0.0,0.0,1.0,"RT @StockTwits: Trump tweets about the stock market vs. the Dow. Notice anything? 🤦‍♂️ $DIA $DJIA

https://t.co/eMOLhKKWem https://t.co/x33…"
37,DJIA,04-01-2018,en,5,0.0,0.0,0.0,1.0,$SPY $DJIA Big down week ahead???
38,DJIA,04-01-2018,en,6,0.516,0.149,0.0,0.851,"$YM $DJIA BEAR MKT 24,500 PJT: TARIFFS AS EXPECTED; NOT A #TRADEWAR IT’S AN ARMS INNOVATION RACE CIRCA 2014 V MERCU… https://t.co/uh2WGd0tQY"
39,DJIA,04-01-2018,en,8,0.0,0.0,0.0,1.0,"RT @StockTwits: Trump tweets about the stock market vs. the Dow. Notice anything? 🤦‍♂️ $DIA $DJIA

https://t.co/eMOLhKKWem https://t.co/x33…"
40,DJIA,04-01-2018,en,9,0.0,0.0,0.0,1.0,"RT @TraderLionChat: Market Analysis and Summary from tonight's newsletter.

$SPX $DJIA $NDX $RUT $SPY $QQQ $IWM $DIA https://t.co/4D4JrGSa6u"
41,DJIA,04-01-2018,en,10,0.0,0.0,0.0,1.0,"RT @StockTwits: Trump tweets about the stock market vs. the Dow. Notice anything? 🤦‍♂️ $DIA $DJIA

https://t.co/eMOLhKKWem https://t.co/x33…"
42,DJIA,03-28-2018,en,1,0.8553,0.29,0.0,0.71,"RT @ChrisLutolf: Attn: ""@POTUS""
Do you know the saying ""An honest man's word's as good as his bond""?
Good!
Are you a man whom one can take…"
43,DJIA,03-28-2018,en,2,0.8553,0.29,0.0,0.71,"RT @ChrisLutolf: Attn: ""@POTUS""
Do you know the saying ""An honest man's word's as good as his bond""?
Good!
Are you a man whom one can take…"
44,DJIA,03-28-2018,en,3,0.8553,0.29,0.0,0.71,"RT @ChrisLutolf: Attn: ""@POTUS""
Do you know the saying ""An honest man's word's as good as his bond""?
Good!
Are you a man whom one can take…"
45,DJIA,03-28-2018,en,4,0.8553,0.29,0.0,0.71,"RT @ChrisLutolf: Attn: ""@POTUS""
Do you know the saying ""An honest man's word's as good as his bond""?
Good!
Are you a man whom one can take…"
46,DJIA,03-28-2018,en,5,0.8553,0.29,0.0,0.71,"RT @ChrisLutolf: Attn: ""@POTUS""
Do you know the saying ""An honest man's word's as good as his bond""?
Good!
Are you a man whom one can take…"
47,DJIA,03-28-2018,en,6,0.8553,0.29,0.0,0.71,"RT @ChrisLutolf: Attn: ""@POTUS""
Do you know the saying ""An honest man's word's as good as his bond""?
Good!
Are you a man whom one can take…"
48,DJIA,03-28-2018,en,7,0.8553,0.29,0.0,0.71,"RT @ChrisLutolf: Attn: ""@POTUS""
Do you know the saying ""An honest man's word's as good as his bond""?
Good!
Are you a man whom one can take…"
49,DJIA,03-28-2018,en,8,0.8553,0.29,0.0,0.71,"RT @ChrisLutolf: Attn: ""@POTUS""
Do you know the saying ""An honest man's word's as good as his bond""?
Good!
Are you a man whom one can take…"
50,DJIA,03-28-2018,en,9,0.8553,0.29,0.0,0.71,"RT @ChrisLutolf: Attn: ""@POTUS""
Do you know the saying ""An honest man's word's as good as his bond""?
Good!
Are you a man whom one can take…"
51,DJIA,03-28-2018,en,10,0.8553,0.29,0.0,0.71,"RT @ChrisLutolf: Attn: ""@POTUS""
Do you know the saying ""An honest man's word's as good as his bond""?
Good!
Are you a man whom one can take…"
52,DJIA,03-27-2018,en,1,0.0,0.0,0.0,1.0,"$SPX $SPY $QQQ $NDX $IWM $VIX $DIA $DJIA $SVXY $UVXY Five Things You Need to Know to Start Your Day 
 
https://t.co/s2zGdMCY6c"
53,DJIA,03-27-2018,en,3,0.0,0.0,0.0,1.0,RT @JayWoods3: The DJIA sold off 300+ points since this guy stepped onto the floor. https://t.co/uoqm9MYSxA
54,DJIA,03-27-2018,en,4,0.3612,0.183,0.118,0.699,...this divergence was best recognized by the S&amp;P/DJIA/midcaps' inability to confirm the Nasdaq's new high in mid-M… https://t.co/s4rvaRZuCT
55,DJIA,03-27-2018,en,5,0.0,0.0,0.0,1.0,"$LFIN incredible day here with the puts bought yesterday! +9,100 so far! $SPY $QQQ $IWM $DJIA $VXX $UDOW $VIX https://t.co/M8iOE6zje1"
56,DJIA,03-27-2018,en,7,-0.4019,0.0,0.119,0.881,"$SPX $SPY $QQQ $NDX $IWM $VIX $DIA $DJIA $SVXY $UVXY Asia Stocks Tip Losses After U.S. Tech Slides: Markets Wrap 
 
https://t.co/dUgOaCG7P6"
57,DJIA,03-27-2018,en,9,0.0,0.0,0.0,1.0,"Recap of today’s #market activity, #news after the close https://t.co/ArBMEFRgD7 $SPX $DJIA $COMPQ $USD #futures #stocks #economy #earnings"
58,DJIA,03-27-2018,en,10,0.0258,0.212,0.208,0.579,"Don’t cry over your loss, cherish the good times you had together $NVDA $TSLA $AMZN $FB $SPY $DJIA $QQQ"
