Ticker,Trade Date,Closing Price,Shares Traded,Normalized Value
NKE,2018-04-04,68.42,10275849,0.2091407678244957
NKE,2018-04-05,69.59,9093342,0.4230347349177319
NKE,2018-04-06,67.55,9719265,0.05009140767824255
PFE,2018-04-02,35.05,26872193,-0.46481481481481474
PFE,2018-04-03,35.68,20254152,0.11851851851851804
PFE,2018-04-04,36.13,20882990,0.5351851851851852
PFE,2018-04-05,35.73,24460903,0.16481481481481147
PFE,2018-04-06,35.17,21146274,-0.35370370370369997
PG,2018-04-02,77.4,12017213,-0.6230303030303098
PG,2018-04-03,78.46,11933110,0.019393939393928746
PG,2018-04-04,79.05,9030792,0.37696969696969024
PG,2018-04-05,78.8,7864699,0.22545454545453794
PG,2018-04-06,78.43,8300813,0.0012121212121183934
TRV,2018-04-02,134.84,2215447,-0.5752808988764064
TRV,2018-04-03,136.99,1472069,-0.09213483146067362
TRV,2018-04-04,138.63,1479697,0.27640449438202086
TRV,2018-04-05,139.29,1209603,0.4247191011235935
TRV,2018-04-06,137.25,1738587,-0.03370786516854069
UNH,2018-04-02,217.2,6220689,-0.6335299073294001
UNH,2018-04-03,224.58,4651997,-0.011794439764107656
UNH,2018-04-04,228.79,4674010,0.3428812131423774
UNH,2018-04-05,229.07,3348090,0.36647009267059993
UNH,2018-04-06,223.96,3231724,-0.06402695871945764
UTX,2018-04-02,123.48,6596490,-0.3508305647840486
UTX,2018-04-03,124.91,3804500,0.12425249169435566
UTX,2018-04-04,125.77,7261233,0.40996677740864207
UTX,2018-04-05,125.76,4078888,0.4066445182724324
UTX,2018-04-06,122.76,4454247,-0.5900332225913579
VZ,2018-04-02,47.16,16511150,-0.46481481481481474
VZ,2018-04-03,47.5,14841286,-0.14999999999999836
VZ,2018-04-04,47.93,12376358,0.24814814814814753
VZ,2018-04-05,48.24,13201329,0.5351851851851852
VZ,2018-04-06,47.48,16071594,-0.16851851851851968
V,2018-04-02,118.39,9877103,-0.24871060171919665
V,2018-04-03,119.2,7084805,-0.01661891117478304
V,2018-04-04,119.81,8425714,0.15816618911175
V,2018-04-05,121.19,6815997,0.5535816618911189
V,2018-04-06,117.7,8383796,-0.4464183381088811
WMT,2018-04-02,85.55,19128893,-0.5592920353982269
WMT,2018-04-03,86.8,9695513,-0.00619469026548485
WMT,2018-04-04,87.22,6536578,0.17964601769911726
WMT,2018-04-05,87.81,6380937,0.44070796460177303
WMT,2018-04-06,86.69,6349953,-0.054867256637165907
DIS,2018-04-02,98.66,8203692,-0.4747826086956533
DIS,2018-04-03,99.42,8484678,-0.25449275362318824
DIS,2018-04-04,100.95,8759236,0.18898550724637694
DIS,2018-04-05,102.11,6612756,0.5252173913043467
DIS,2018-04-06,100.35,7162386,0.015072463768113754
