,Date,Index,Compound,Positive,Neutral,Negative
0,03-28-2018,Stock Market,-0.009022222222222228,0.06922222222222223,0.07500000000000001,0.8557777777777777
1,04-01-2018,Stock Market,-0.148,0.0,0.052,0.948
2,04-02-2018,Stock Market,-0.011140000000000008,0.10750000000000001,0.1072,0.7851999999999999
3,04-03-2018,Stock Market,-0.2911500000000001,0.0361,0.1319,0.8319999999999999
4,04-04-2018,Stock Market,-0.44671000000000005,0.07050000000000001,0.18950000000000003,0.74
5,04-05-2018,Stock Market,0.10766999999999997,0.10750000000000001,0.0666,0.8257999999999999
6,04-06-2018,Stock Market,-0.21593000000000004,0.0872,0.16010000000000002,0.7526999999999999
