,Unnamed: 0,Date,Sentiments,Stock Name,Ticker,Closing Price,Shares Traded,Normalized Value
79,79,4/4/2018,-0.04630303,Intel Corp,INTC,49.99,30370046,0.266666667
80,80,4/3/2018,0.014291667,Intel Corp,INTC,49.75,39432360,0.11572327
81,81,4/2/2018,0.024754286,Intel Corp,INTC,48.92,67187824,-0.406289308
82,82,4/1/2018,0.27934,Intel Corp,,,,
83,83,3/31/2018,0.174781132,Intel Corp,,,,
84,84,4/6/2018,0.135135,Johnson & Johnson,JNJ,128.1,6399310,-0.05300813
85,85,4/5/2018,-0.008273,Johnson & Johnson,JNJ,130.71,5621686,0.371382114
86,86,4/4/2018,-0.008062,Johnson & Johnson,JNJ,130.41,7717054,0.322601626
87,87,4/3/2018,-0.022183,Johnson & Johnson,JNJ,128.35,8034954,-0.012357724
88,88,4/2/2018,0.005726,Johnson & Johnson,JNJ,124.56,8916907,-0.628617886
89,89,4/1/2018,0.078017,Johnson & Johnson,,,,
90,90,3/31/2018,0.158532,Johnson & Johnson,,,,
91,91,4/6/2018,0.293209,Coca-Cola Co,KO,43.92,11495075,0.114450867
92,92,4/5/2018,0.101142,Coca-Cola Co,KO,44.4,11707816,0.391907514
93,93,4/4/2018,0.382344,Coca-Cola Co,KO,44.24,13563321,0.299421965
94,94,4/3/2018,0.403778,Coca-Cola Co,KO,43.38,15484644,-0.197687861
95,95,4/2/2018,-0.013053061,Coca-Cola Co,KO,42.67,14207925,-0.608092486
96,96,4/1/2018,0.096225,Coca-Cola Co,,,,
97,97,3/31/2018,-0.031726,Coca-Cola Co,,,,
98,98,4/6/2018,0.06379,JPMorgan Chase & Co,JPM,109.09,18906018,-0.183126551
99,99,4/5/2018,0.097765,JPMorgan Chase & Co,JPM,111.88,16627035,0.509181141
100,100,4/4/2018,0.082461842,JPMorgan Chase & Co,JPM,110.99,15302608,0.288337469
101,101,4/3/2018,0.077636364,JPMorgan Chase & Co,JPM,109.33,14050737,-0.123573201
102,102,4/2/2018,0.101275949,JPMorgan Chase & Co,JPM,107.85,18822525,-0.490818859
103,103,4/1/2018,0.125371429,JPMorgan Chase & Co,,,,
104,104,3/31/2018,0.12572043,JPMorgan Chase & Co,,,,
105,105,4/6/2018,0.12765,McDonald's Corp,MCD,161.25,4321878,0.038523274
106,106,4/5/2018,0.133966667,McDonald's Corp,MCD,163.95,4503889,0.471910112
107,107,4/4/2018,-0.1281,McDonald's Corp,MCD,161.73,4888038,0.115569823
108,108,4/3/2018,0.052358333,McDonald's Corp,MCD,160.4,4719350,-0.097913323
109,109,4/2/2018,0.13984,McDonald's Corp,MCD,157.72,6960137,-0.528089888
110,110,4/1/2018,0.0968875,McDonald's Corp,,,,
111,111,3/31/2018,-0.012426667,McDonald's Corp,,,,
112,112,4/6/2018,0.031093,3M Co,MMM,212.25,2503915,-0.504049844
113,113,4/5/2018,0.131884,3M Co,MMM,218.67,2879937,0.495950156
114,114,4/4/2018,0.106125,3M Co,MMM,217.56,2488891,0.32305296
115,115,4/3/2018,0.209777,3M Co,MMM,216.33,3006825,0.131464174
116,116,4/2/2018,-0.05696,3M Co,MMM,212.62,3840833,-0.446417445
117,117,4/1/2018,-0.172922,3M Co,,,,
118,118,3/31/2018,0.086885,3M Co,,,,
119,119,4/6/2018,0.114855556,Merck & Co Inc,MRK,53.36,12500816,-0.470866142
120,120,4/5/2018,0.221956757,Merck & Co Inc,MRK,54.53,12475803,0.450393701
121,121,4/4/2018,0.18438125,Merck & Co Inc,MRK,54.54,8902717,0.458267717
122,122,4/3/2018,0.105696429,Merck & Co Inc,MRK,54.09,9244608,0.103937008
123,123,4/2/2018,0.127889474,Merck & Co Inc,MRK,53.27,13398012,-0.541732283
124,124,4/1/2018,0.0597,Merck & Co Inc,,,,
125,125,3/31/2018,0.285838462,Merck & Co Inc,,,,
126,126,4/6/2018,0.058226923,Microsoft Corp,MSFT,90.23,38026000,-0.104663212
127,127,4/5/2018,0.146952941,Microsoft Corp,MSFT,92.38,29771881,0.452331606
128,128,4/4/2018,0.100058824,Microsoft Corp,MSFT,92.33,35559956,0.439378238
129,129,4/3/2018,0.317996341,Microsoft Corp,MSFT,89.71,37213837,-0.239378238
130,130,4/2/2018,0.213235,Microsoft Corp,MSFT,88.52,48515417,-0.547668394
131,131,4/1/2018,0.379966,Microsoft Corp,,,,
132,132,3/31/2018,0.399697826,Microsoft Corp,,,,
133,133,4/6/2018,0.086922222,Nike Inc,NKE,67.55,9719265,0.050091408
134,134,4/5/2018,0.099070213,Nike Inc,NKE,69.59,9093342,0.423034735
135,135,4/4/2018,0.193489041,Nike Inc,NKE,68.42,10275849,0.209140768
136,136,4/3/2018,0.042158427,Nike Inc,NKE,66.7,8766360,-0.105301645
137,137,4/2/2018,0.08704,Nike Inc,NKE,64.12,12383944,-0.576965265
138,138,4/1/2018,0.17826,Nike Inc,,,,
139,139,3/31/2018,0.104840541,Nike Inc,,,,
140,140,4/6/2018,0.142228571,Pfizer Inc,PFE,35.17,21146274,-0.353703704
141,141,4/5/2018,0.077541176,Pfizer Inc,PFE,35.73,24460903,0.164814815
142,142,4/4/2018,0.117885294,Pfizer Inc,PFE,36.13,20882990,0.535185185
143,143,4/3/2018,0.042506122,Pfizer Inc,PFE,35.68,20254152,0.118518519
144,144,4/2/2018,0.088165385,Pfizer Inc,PFE,35.05,26872193,-0.464814815
145,145,4/1/2018,0.112709259,Pfizer Inc,,,,
146,146,3/31/2018,0.2243,Pfizer Inc,,,,
147,147,4/6/2018,0.244040385,Procter & Gamble Co,PG,78.43,8300813,0.001212121
148,148,4/5/2018,0.097997,Procter & Gamble Co,PG,78.8,7864699,0.225454545
149,149,4/4/2018,0.07729881,Procter & Gamble Co,PG,79.05,9030792,0.376969697
150,150,4/3/2018,0.17767551,Procter & Gamble Co,PG,78.46,11933110,0.019393939
151,151,4/2/2018,0.237879245,Procter & Gamble Co,PG,77.4,12017213,-0.623030303
152,152,4/1/2018,0.275202564,Procter & Gamble Co,,,,
153,153,3/31/2018,0.156467347,Procter & Gamble Co,,,,
154,154,4/6/2018,0.1125,Travelers Companies Inc,TRV,137.25,1738587,-0.033707865
155,155,4/5/2018,-0.036571429,Travelers Companies Inc,TRV,139.29,1209603,0.424719101
156,156,4/4/2018,0.471875,Travelers Companies Inc,TRV,138.63,1479697,0.276404494
157,157,4/3/2018,0.033511111,Travelers Companies Inc,TRV,136.99,1472069,-0.092134831
158,158,4/2/2018,0.073783333,Travelers Companies Inc,TRV,134.84,2215447,-0.575280899
159,159,4/1/2018,0.12412,Travelers Companies Inc,,,,
160,160,3/31/2018,0.162990909,Travelers Companies Inc,,,,
161,161,4/6/2018,0.145045455,UnitedHealth Group Inc,UNH,223.96,3231724,-0.064026959
162,162,4/5/2018,0,UnitedHealth Group Inc,UNH,229.07,3348090,0.366470093
163,163,4/4/2018,0.2250375,UnitedHealth Group Inc,UNH,228.79,4674010,0.342881213
164,164,4/3/2018,0.270852632,UnitedHealth Group Inc,UNH,224.58,4651997,-0.01179444
165,165,4/2/2018,0.194082353,UnitedHealth Group Inc,UNH,217.2,6220689,-0.633529907
